waveform,[R1],[R2],[R3]
Input,16_1,16_2,16_3
delta_t,0.082008,0.082008,0.082008
Frequency,12.5,12.5,12.5
Scaling,3921.568604,3921.568604,3921.568604
,,,
Date        Time,Y[R1],Y[R2],Y[R3]
"07/04/2020 17:27:44,44100",-1.26E+00,-3.14E+00,4.27E+00
"07/04/2020 17:27:44,52300",-4.02E+00,-9.17E+00,1.18E+01
"07/04/2020 17:27:44,60501",-9.05E+00,-1.67E+01,1.87E+01
"07/04/2020 17:27:44,68702",-1.17E+01,-2.09E+01,2.30E+01
"07/04/2020 17:27:44,76903",-1.45E+01,-2.64E+01,2.87E+01
"07/04/2020 17:27:44,85103",-1.66E+01,-2.83E+01,2.93E+01
"07/04/2020 17:27:44,93304",-1.70E+01,-3.18E+01,3.63E+01
"07/04/2020 17:27:45,01505",-2.49E+01,-4.72E+01,5.39E+01
"07/04/2020 17:27:45,09706",-3.49E+01,-6.20E+01,6.72E+01
"07/04/2020 17:27:45,17907",-4.03E+01,-7.13E+01,7.68E+01
"07/04/2020 17:27:45,26107",-4.64E+01,-8.19E+01,8.87E+01
"07/04/2020 17:27:45,34308",-5.29E+01,-8.97E+01,9.36E+01
"07/04/2020 17:27:45,42509",-5.11E+01,-8.67E+01,9.00E+01
"07/04/2020 17:27:45,50710",-5.09E+01,-8.67E+01,9.06E+01
"07/04/2020 17:27:45,58910",-5.09E+01,-8.66E+01,9.09E+01
"07/04/2020 17:27:45,67111",-5.10E+01,-8.66E+01,9.01E+01
"07/04/2020 17:27:45,75312",-5.09E+01,-8.63E+01,9.04E+01
"07/04/2020 17:27:45,83513",-5.09E+01,-8.65E+01,9.05E+01
"07/04/2020 17:27:45,91714",-5.10E+01,-8.65E+01,9.01E+01
"07/04/2020 17:27:45,99914",-5.09E+01,-8.71E+01,9.15E+01
"07/04/2020 17:27:46,08115",-5.21E+01,-8.91E+01,9.34E+01
"07/04/2020 17:27:46,16316",-5.25E+01,-8.88E+01,9.27E+01
"07/04/2020 17:27:46,24517",-5.21E+01,-8.87E+01,9.29E+01
"07/04/2020 17:27:46,32717",-5.24E+01,-8.87E+01,9.26E+01
"07/04/2020 17:27:46,40918",-5.21E+01,-8.87E+01,9.27E+01
"07/04/2020 17:27:46,49119",-5.23E+01,-8.87E+01,9.25E+01
"07/04/2020 17:27:46,57320",-5.21E+01,-8.88E+01,9.27E+01
"07/04/2020 17:27:46,65521",-5.21E+01,-8.86E+01,9.26E+01
"07/04/2020 17:27:46,73721",-5.21E+01,-8.86E+01,9.25E+01
"07/04/2020 17:27:46,81922",-5.21E+01,-8.85E+01,9.25E+01
"07/04/2020 17:27:46,90123",-5.20E+01,-8.83E+01,9.24E+01
"07/04/2020 17:27:46,98324",-5.21E+01,-8.83E+01,9.24E+01
"07/04/2020 17:27:47,06524",-5.20E+01,-8.85E+01,9.22E+01
"07/04/2020 17:27:47,14725",-5.19E+01,-8.82E+01,9.22E+01
"07/04/2020 17:27:47,22926",-5.20E+01,-8.83E+01,9.24E+01
"07/04/2020 17:27:47,31127",-5.19E+01,-8.83E+01,9.22E+01
"07/04/2020 17:27:47,39328",-5.20E+01,-8.83E+01,9.24E+01
"07/04/2020 17:27:47,47528",-5.21E+01,-8.90E+01,9.35E+01
"07/04/2020 17:27:47,55729",-5.30E+01,-9.00E+01,9.41E+01
"07/04/2020 17:27:47,63930",-5.29E+01,-9.01E+01,9.39E+01
"07/04/2020 17:27:47,72131",-5.30E+01,-9.01E+01,9.40E+01
"07/04/2020 17:27:47,80331",-5.30E+01,-9.01E+01,9.42E+01
"07/04/2020 17:27:47,88532",-5.30E+01,-9.00E+01,9.41E+01
"07/04/2020 17:27:47,96733",-5.29E+01,-9.00E+01,9.40E+01
"07/04/2020 17:27:48,04934",-5.29E+01,-8.98E+01,9.39E+01
"07/04/2020 17:27:48,13135",-5.28E+01,-8.98E+01,9.40E+01
"07/04/2020 17:27:48,21335",-5.29E+01,-8.97E+01,9.37E+01
"07/04/2020 17:27:48,29536",-5.28E+01,-8.97E+01,9.37E+01
"07/04/2020 17:27:48,37737",-5.27E+01,-8.96E+01,9.37E+01
"07/04/2020 17:27:48,45938",-5.28E+01,-8.96E+01,9.37E+01
"07/04/2020 17:27:48,54138",-5.27E+01,-8.96E+01,9.36E+01
"07/04/2020 17:27:48,62339",-5.28E+01,-8.96E+01,9.37E+01
"07/04/2020 17:27:48,70540",-5.25E+01,-8.97E+01,9.35E+01
"07/04/2020 17:27:48,78741",-5.27E+01,-8.96E+01,9.39E+01
"07/04/2020 17:27:48,86942",-5.25E+01,-8.96E+01,9.36E+01
"07/04/2020 17:27:48,95142",-5.27E+01,-8.97E+01,9.42E+01
"07/04/2020 17:27:49,03343",-5.32E+01,-9.07E+01,9.51E+01
"07/04/2020 17:27:49,11544",-5.34E+01,-9.07E+01,9.50E+01
"07/04/2020 17:27:49,19745",-5.35E+01,-9.09E+01,9.51E+01
"07/04/2020 17:27:49,27945",-5.34E+01,-9.10E+01,9.51E+01
"07/04/2020 17:27:49,36146",-5.33E+01,-9.09E+01,9.50E+01
"07/04/2020 17:27:49,44347",-5.34E+01,-9.07E+01,9.51E+01
"07/04/2020 17:27:49,52548",-5.32E+01,-9.09E+01,9.51E+01
"07/04/2020 17:27:49,60749",-5.32E+01,-9.06E+01,9.47E+01
"07/04/2020 17:27:49,68949",-5.34E+01,-9.07E+01,9.47E+01
"07/04/2020 17:27:49,77150",-5.33E+01,-9.06E+01,9.47E+01
"07/04/2020 17:27:49,85351",-5.33E+01,-9.06E+01,9.47E+01
"07/04/2020 17:27:49,93552",-5.33E+01,-9.05E+01,9.47E+01
"07/04/2020 17:27:50,01753",-5.32E+01,-9.04E+01,9.46E+01
"07/04/2020 17:27:50,09953",-5.32E+01,-9.05E+01,9.46E+01
"07/04/2020 17:27:50,18154",-5.32E+01,-9.05E+01,9.45E+01
"07/04/2020 17:27:50,26355",-5.32E+01,-9.05E+01,9.47E+01
"07/04/2020 17:27:50,34556",-5.32E+01,-9.05E+01,9.46E+01
"07/04/2020 17:27:50,42756",-5.32E+01,-9.06E+01,9.47E+01
"07/04/2020 17:27:50,50957",-5.33E+01,-9.10E+01,9.56E+01
"07/04/2020 17:27:50,59158",-5.38E+01,-9.16E+01,9.59E+01
"07/04/2020 17:27:50,67359",-5.38E+01,-9.15E+01,9.59E+01
"07/04/2020 17:27:50,75560",-5.37E+01,-9.16E+01,9.59E+01
"07/04/2020 17:27:50,83760",-5.38E+01,-9.16E+01,9.56E+01
"07/04/2020 17:27:50,91961",-5.38E+01,-9.15E+01,9.59E+01
"07/04/2020 17:27:51,00162",-5.38E+01,-9.15E+01,9.58E+01
"07/04/2020 17:27:51,08363",-5.37E+01,-9.14E+01,9.55E+01
"07/04/2020 17:27:51,16563",-5.35E+01,-9.11E+01,9.56E+01
"07/04/2020 17:27:51,24764",-5.35E+01,-9.14E+01,9.56E+01
"07/04/2020 17:27:51,32965",-5.35E+01,-9.12E+01,9.55E+01
"07/04/2020 17:27:51,41166",-5.37E+01,-9.12E+01,9.54E+01
"07/04/2020 17:27:51,49367",-5.34E+01,-9.11E+01,9.53E+01
"07/04/2020 17:27:51,57567",-5.37E+01,-9.11E+01,9.55E+01
"07/04/2020 17:27:51,65768",-5.34E+01,-9.11E+01,9.54E+01
"07/04/2020 17:27:51,73969",-5.34E+01,-9.11E+01,9.54E+01
"07/04/2020 17:27:51,82170",-5.35E+01,-9.11E+01,9.54E+01
"07/04/2020 17:27:51,90370",-5.35E+01,-9.11E+01,9.55E+01
