waveform,[R1],[R2],[R3]
Input,16_1,16_2,16_3
delta_t,0.081665,0.081665,0.081665
Frequency,12.5,12.5,12.5
Scaling,3921.568604,3921.568604,3921.568604
,,,
Date        Time,Y[R1],Y[R2],Y[R3]
24/03/2020 16:56:31.14797,-6.38E+01,-9.50E+01,1.05E+02
24/03/2020 16:56:31.22963,-6.38E+01,-9.50E+01,1.05E+02
24/03/2020 16:56:31.31130,-6.37E+01,-9.50E+01,1.05E+02
24/03/2020 16:56:31.39296,-6.38E+01,-9.50E+01,1.05E+02
24/03/2020 16:56:31.47463,-6.40E+01,-9.49E+01,1.05E+02
24/03/2020 16:56:31.55630,-6.37E+01,-9.50E+01,1.05E+02
24/03/2020 16:56:31.63796,-6.37E+01,-9.47E+01,1.05E+02
24/03/2020 16:56:31.71963,-6.38E+01,-9.49E+01,1.05E+02
24/03/2020 16:56:31.80129,-6.38E+01,-9.49E+01,1.05E+02
24/03/2020 16:56:31.88296,-6.37E+01,-9.49E+01,1.05E+02
24/03/2020 16:56:31.96462,-6.37E+01,-9.49E+01,1.05E+02
24/03/2020 16:56:32.04629,-6.38E+01,-9.49E+01,1.05E+02
24/03/2020 16:56:32.12795,-6.38E+01,-9.49E+01,1.05E+02
24/03/2020 16:56:32.20962,-6.37E+01,-9.47E+01,1.05E+02
24/03/2020 16:56:32.29128,-6.38E+01,-9.47E+01,1.05E+02
24/03/2020 16:56:32.37295,-6.37E+01,-9.47E+01,1.05E+02
24/03/2020 16:56:32.45461,-6.36E+01,-9.46E+01,1.05E+02
24/03/2020 16:56:32.53628,-6.37E+01,-9.46E+01,1.05E+02
24/03/2020 16:56:32.61795,-6.36E+01,-9.47E+01,1.05E+02
24/03/2020 16:56:32.69961,-6.36E+01,-9.46E+01,1.05E+02
24/03/2020 16:56:32.78128,-6.35E+01,-9.47E+01,1.05E+02
24/03/2020 16:56:32.86294,-6.36E+01,-9.46E+01,1.05E+02
24/03/2020 16:56:32.94461,-6.37E+01,-9.46E+01,1.05E+02
24/03/2020 16:56:33.02627,-6.36E+01,-9.46E+01,1.05E+02
24/03/2020 16:56:33.10794,-6.35E+01,-9.47E+01,1.05E+02
24/03/2020 16:56:33.18960,-6.36E+01,-9.46E+01,1.05E+02
24/03/2020 16:56:33.27127,-6.36E+01,-9.46E+01,1.05E+02
24/03/2020 16:56:33.35293,-6.37E+01,-9.44E+01,1.05E+02
24/03/2020 16:56:33.43460,-6.36E+01,-9.45E+01,1.05E+02
24/03/2020 16:56:33.51626,-6.36E+01,-9.45E+01,1.05E+02
24/03/2020 16:56:33.59793,-6.35E+01,-9.45E+01,1.05E+02
24/03/2020 16:56:33.67960,-6.35E+01,-9.44E+01,1.05E+02
24/03/2020 16:56:33.76126,-6.37E+01,-9.45E+01,1.05E+02
24/03/2020 16:56:33.84293,-6.32E+01,-9.44E+01,1.05E+02
24/03/2020 16:56:33.92459,-6.35E+01,-9.42E+01,1.05E+02
24/03/2020 16:56:34.00626,-6.36E+01,-9.45E+01,1.05E+02
24/03/2020 16:56:34.08792,-6.33E+01,-9.45E+01,1.05E+02
24/03/2020 16:56:34.16959,-6.36E+01,-9.42E+01,1.05E+02
24/03/2020 16:56:34.25125,-6.33E+01,-9.42E+01,1.05E+02
24/03/2020 16:56:34.33292,-6.33E+01,-9.44E+01,1.05E+02
24/03/2020 16:56:34.41458,-6.35E+01,-9.44E+01,1.05E+02
24/03/2020 16:56:34.49625,-6.32E+01,-9.45E+01,1.05E+02
24/03/2020 16:56:34.57791,-6.33E+01,-9.45E+01,1.05E+02
24/03/2020 16:56:34.65958,-6.35E+01,-9.45E+01,1.04E+02
24/03/2020 16:56:34.74125,-6.33E+01,-9.44E+01,1.05E+02
24/03/2020 16:56:34.82291,-6.33E+01,-9.44E+01,1.04E+02
24/03/2020 16:56:34.90458,-6.32E+01,-9.44E+01,1.04E+02
24/03/2020 16:56:34.98624,-6.32E+01,-9.44E+01,1.04E+02
24/03/2020 16:56:35.06791,-6.33E+01,-9.45E+01,1.04E+02
24/03/2020 16:56:35.14957,-6.33E+01,-9.44E+01,1.04E+02
24/03/2020 16:56:35.23124,-6.32E+01,-9.42E+01,1.04E+02
24/03/2020 16:56:35.31290,-6.33E+01,-9.41E+01,1.04E+02
24/03/2020 16:56:35.39457,-6.32E+01,-9.42E+01,1.04E+02
24/03/2020 16:56:35.47623,-6.33E+01,-9.44E+01,1.04E+02
24/03/2020 16:56:35.55790,-6.32E+01,-9.42E+01,1.04E+02
24/03/2020 16:56:35.63956,-6.32E+01,-9.42E+01,1.04E+02
24/03/2020 16:56:35.72123,-6.33E+01,-9.42E+01,1.04E+02
24/03/2020 16:56:35.80289,-6.33E+01,-9.44E+01,1.04E+02
24/03/2020 16:56:35.88456,-6.32E+01,-9.42E+01,1.04E+02
24/03/2020 16:56:35.96623,-6.32E+01,-9.42E+01,1.04E+02
24/03/2020 16:56:36.04789,-6.32E+01,-9.41E+01,1.04E+02
24/03/2020 16:56:36.12956,-6.33E+01,-9.42E+01,1.04E+02
24/03/2020 16:56:36.21122,-6.32E+01,-9.42E+01,1.04E+02
24/03/2020 16:56:36.29289,-6.32E+01,-9.41E+01,1.04E+02
24/03/2020 16:56:36.37455,-6.32E+01,-9.41E+01,1.04E+02
24/03/2020 16:56:36.45622,-6.32E+01,-9.40E+01,1.04E+02
24/03/2020 16:56:36.53788,-6.32E+01,-9.39E+01,1.04E+02
24/03/2020 16:56:36.61955,-6.32E+01,-9.41E+01,1.04E+02
24/03/2020 16:56:36.70121,-6.32E+01,-9.40E+01,1.04E+02
24/03/2020 16:56:36.78288,-6.31E+01,-9.39E+01,1.04E+02
24/03/2020 16:56:36.86454,-6.32E+01,-9.40E+01,1.04E+02
24/03/2020 16:56:36.94621,-6.32E+01,-9.41E+01,1.04E+02
24/03/2020 16:56:37.02788,-6.32E+01,-9.41E+01,1.04E+02
24/03/2020 16:56:37.10954,-6.31E+01,-9.41E+01,1.04E+02
24/03/2020 16:56:37.19121,-6.31E+01,-9.40E+01,1.04E+02
24/03/2020 16:56:37.27287,-6.31E+01,-9.40E+01,1.04E+02
24/03/2020 16:56:37.35454,-6.30E+01,-9.39E+01,1.04E+02
24/03/2020 16:56:37.43620,-6.30E+01,-9.40E+01,1.04E+02
24/03/2020 16:56:37.51787,-6.30E+01,-9.40E+01,1.04E+02
24/03/2020 16:56:37.59953,-6.30E+01,-9.39E+01,1.04E+02
24/03/2020 16:56:37.68120,-6.31E+01,-9.39E+01,1.04E+02
24/03/2020 16:56:37.76286,-6.28E+01,-9.40E+01,1.04E+02
24/03/2020 16:56:37.84453,-6.30E+01,-9.39E+01,1.04E+02
24/03/2020 16:56:37.92619,-6.30E+01,-9.39E+01,1.04E+02
24/03/2020 16:56:38.00786,-6.31E+01,-9.37E+01,1.04E+02
24/03/2020 16:56:38.08953,-6.30E+01,-9.37E+01,1.04E+02
24/03/2020 16:56:38.17119,-6.28E+01,-9.39E+01,1.04E+02
24/03/2020 16:56:38.25286,-6.28E+01,-9.39E+01,1.04E+02
24/03/2020 16:56:38.33452,-6.30E+01,-9.39E+01,1.04E+02
24/03/2020 16:56:38.41619,-6.30E+01,-9.39E+01,1.04E+02
24/03/2020 16:56:38.49785,-6.28E+01,-9.37E+01,1.04E+02
24/03/2020 16:56:38.57952,-6.28E+01,-9.39E+01,1.04E+02
24/03/2020 16:56:38.66118,-6.28E+01,-9.37E+01,1.04E+02
24/03/2020 16:56:38.74285,-6.30E+01,-9.37E+01,1.04E+02
24/03/2020 16:56:38.82451,-6.30E+01,-9.39E+01,1.04E+02
24/03/2020 16:56:38.90618,-6.30E+01,-9.37E+01,1.04E+02
24/03/2020 16:56:38.98784,-6.28E+01,-9.39E+01,1.04E+02
24/03/2020 16:56:39.06951,-6.28E+01,-9.37E+01,1.04E+02
24/03/2020 16:56:39.15118,-6.28E+01,-9.37E+01,1.04E+02
24/03/2020 16:56:39.23284,-6.27E+01,-9.37E+01,1.04E+02
24/03/2020 16:56:39.31451,-6.28E+01,-9.37E+01,1.04E+02
24/03/2020 16:56:39.39617,-6.28E+01,-9.36E+01,1.04E+02
24/03/2020 16:56:39.47784,-6.28E+01,-9.36E+01,1.04E+02
24/03/2020 16:56:39.55950,-6.27E+01,-9.37E+01,1.04E+02
24/03/2020 16:56:39.64117,-6.28E+01,-9.37E+01,1.04E+02
24/03/2020 16:56:39.72283,-6.28E+01,-9.37E+01,1.04E+02
24/03/2020 16:56:39.80450,-6.28E+01,-9.36E+01,1.04E+02
24/03/2020 16:56:39.88616,-6.28E+01,-9.37E+01,1.04E+02
24/03/2020 16:56:39.96783,-6.28E+01,-9.36E+01,1.04E+02
24/03/2020 16:56:40.04949,-6.28E+01,-9.36E+01,1.04E+02
24/03/2020 16:56:40.13116,-6.27E+01,-9.37E+01,1.04E+02
24/03/2020 16:56:40.21282,-6.27E+01,-9.37E+01,1.04E+02
24/03/2020 16:56:40.29449,-6.27E+01,-9.39E+01,1.04E+02
24/03/2020 16:56:40.37616,-6.27E+01,-9.37E+01,1.04E+02
24/03/2020 16:56:40.45782,-6.28E+01,-9.36E+01,1.04E+02
24/03/2020 16:56:40.53949,-6.27E+01,-9.36E+01,1.04E+02
24/03/2020 16:56:40.62115,-6.28E+01,-9.36E+01,1.04E+02
24/03/2020 16:56:40.70282,-6.26E+01,-9.35E+01,1.04E+02
24/03/2020 16:56:40.78448,-6.28E+01,-9.36E+01,1.04E+02
24/03/2020 16:56:40.86615,-6.25E+01,-9.36E+01,1.04E+02
24/03/2020 16:56:40.94781,-6.26E+01,-9.36E+01,1.04E+02
24/03/2020 16:56:41.02948,-6.28E+01,-9.36E+01,1.04E+02
24/03/2020 16:56:41.11114,-6.26E+01,-9.35E+01,1.04E+02
24/03/2020 16:56:41.19281,-6.25E+01,-9.36E+01,1.04E+02
24/03/2020 16:56:41.27447,-6.26E+01,-9.36E+01,1.04E+02
24/03/2020 16:56:41.35614,-6.27E+01,-9.35E+01,1.04E+02
24/03/2020 16:56:41.43781,-6.25E+01,-9.35E+01,1.04E+02
24/03/2020 16:56:41.51947,-6.26E+01,-9.35E+01,1.04E+02
24/03/2020 16:56:41.60114,-6.26E+01,-9.36E+01,1.04E+02
24/03/2020 16:56:41.68280,-6.25E+01,-9.35E+01,1.04E+02
24/03/2020 16:56:41.76447,-6.26E+01,-9.36E+01,1.04E+02
24/03/2020 16:56:41.84613,-6.26E+01,-9.35E+01,1.04E+02
24/03/2020 16:56:41.92780,-6.26E+01,-9.35E+01,1.04E+02
24/03/2020 16:56:42.00946,-6.25E+01,-9.36E+01,1.04E+02
24/03/2020 16:56:42.09113,-6.26E+01,-9.35E+01,1.04E+02
24/03/2020 16:56:42.17279,-6.26E+01,-9.36E+01,1.04E+02
24/03/2020 16:56:42.25446,-6.26E+01,-9.35E+01,1.04E+02
24/03/2020 16:56:42.33612,-6.25E+01,-9.35E+01,1.04E+02
24/03/2020 16:56:42.41779,-6.25E+01,-9.36E+01,1.04E+02
24/03/2020 16:56:42.49946,-6.25E+01,-9.34E+01,1.04E+02
24/03/2020 16:56:42.58112,-6.25E+01,-9.35E+01,1.04E+02
24/03/2020 16:56:42.66279,-6.25E+01,-9.34E+01,1.04E+02
24/03/2020 16:56:42.74445,-6.25E+01,-9.35E+01,1.04E+02
24/03/2020 16:56:42.82612,-6.23E+01,-9.32E+01,1.02E+02
24/03/2020 16:56:42.90778,-5.89E+01,-8.41E+01,8.68E+01
24/03/2020 16:56:42.98945,-3.93E+01,-4.93E+01,4.20E+01
24/03/2020 16:56:43.07111,-7.92E+00,-5.28E+00,-2.26E+00
24/03/2020 16:56:43.15278,8.42E+00,7.92E+00,-3.64E+00
24/03/2020 16:56:43.23444,-2.76E+00,-1.27E+01,1.76E+01
24/03/2020 16:56:43.31611,-8.17E+00,-1.19E+01,7.54E+00
24/03/2020 16:56:43.39777,5.28E+00,8.29E+00,-1.04E+01
24/03/2020 16:56:43.47944,7.41E+00,3.77E+00,1.01E+00
24/03/2020 16:56:43.56111,-3.27E+00,-1.03E+01,1.14E+01
24/03/2020 16:56:43.64277,-1.38E+00,-1.88E+00,-1.51E+00
24/03/2020 16:56:43.72444,7.04E+00,7.16E+00,-6.53E+00
24/03/2020 16:56:43.80610,3.27E+00,-1.76E+00,4.90E+00
24/03/2020 16:56:43.88777,-1.88E+00,-5.40E+00,4.40E+00
24/03/2020 16:56:43.96943,3.27E+00,3.39E+00,-4.78E+00
24/03/2020 16:56:44.05110,5.91E+00,3.52E+00,-1.63E+00
24/03/2020 16:56:44.13276,7.54E-01,-3.90E+00,5.28E+00
24/03/2020 16:56:44.21443,2.51E-01,-1.38E+00,-2.51E-01
24/03/2020 16:56:44.29609,4.78E+00,4.15E+00,-4.15E+00
24/03/2020 16:56:44.37776,3.64E+00,3.77E-01,1.88E+00
24/03/2020 16:56:44.45942,1.26E-01,-3.27E+00,3.14E+00
24/03/2020 16:56:44.54109,2.51E+00,1.38E+00,-2.64E+00
24/03/2020 16:56:44.62276,4.78E+00,2.89E+00,-2.01E+00
24/03/2020 16:56:44.70442,2.14E+00,-1.51E+00,2.76E+00
