waveform,[R1],[R2],[R3]
Input,16_1,16_2,16_3
delta_t,0.08164,0.08164,0.08164
Frequency,12.5,12.5,12.5
Scaling,3921.568604,3921.568604,3921.568604
,,,
Date        Time,Y[R1],Y[R2],Y[R3]
24/03/2020 17:05:27.07195,1.60E+01,2.51E+00,-9.05E+00
24/03/2020 17:05:27.15359,1.60E+01,2.51E+00,-9.17E+00
24/03/2020 17:05:27.23523,1.58E+01,2.51E+00,-9.05E+00
24/03/2020 17:05:27.31687,1.60E+01,2.51E+00,-9.05E+00
24/03/2020 17:05:27.39851,1.58E+01,2.26E+00,-8.92E+00
24/03/2020 17:05:27.48015,1.57E+01,2.51E+00,-9.30E+00
24/03/2020 17:05:27.56180,1.60E+01,2.64E+00,-9.05E+00
24/03/2020 17:05:27.64344,1.58E+01,2.39E+00,-8.67E+00
24/03/2020 17:05:27.72508,1.57E+01,2.51E+00,-8.92E+00
24/03/2020 17:05:27.80672,1.58E+01,2.64E+00,-9.30E+00
24/03/2020 17:05:27.88836,1.60E+01,2.64E+00,-8.92E+00
24/03/2020 17:05:27.97000,1.58E+01,2.26E+00,-8.80E+00
24/03/2020 17:05:28.05164,1.57E+01,2.51E+00,-9.05E+00
24/03/2020 17:05:28.13328,1.60E+01,2.64E+00,-9.05E+00
24/03/2020 17:05:28.21492,1.60E+01,2.51E+00,-8.92E+00
24/03/2020 17:05:28.29656,1.60E+01,2.39E+00,-9.05E+00
24/03/2020 17:05:28.37820,1.61E+01,2.76E+00,-9.17E+00
24/03/2020 17:05:28.45984,1.61E+01,2.64E+00,-9.17E+00
24/03/2020 17:05:28.54148,1.58E+01,2.51E+00,-8.92E+00
24/03/2020 17:05:28.62312,1.58E+01,2.64E+00,-9.17E+00
24/03/2020 17:05:28.70476,1.60E+01,2.76E+00,-9.05E+00
24/03/2020 17:05:28.78640,1.60E+01,2.64E+00,-8.92E+00
24/03/2020 17:05:28.86804,1.58E+01,2.51E+00,-8.92E+00
24/03/2020 17:05:28.94968,1.58E+01,2.64E+00,-8.92E+00
24/03/2020 17:05:29.03132,1.57E+01,2.51E+00,-8.80E+00
24/03/2020 17:05:29.11296,1.56E+01,2.39E+00,-8.67E+00
24/03/2020 17:05:29.19461,1.58E+01,2.51E+00,-9.05E+00
24/03/2020 17:05:29.27625,1.58E+01,2.64E+00,-9.17E+00
24/03/2020 17:05:29.35789,1.57E+01,2.51E+00,-8.92E+00
24/03/2020 17:05:29.43953,1.56E+01,2.39E+00,-8.92E+00
24/03/2020 17:05:29.52117,1.57E+01,2.64E+00,-9.17E+00
24/03/2020 17:05:29.60281,1.58E+01,2.76E+00,-8.92E+00
24/03/2020 17:05:29.68445,1.58E+01,2.51E+00,-8.80E+00
24/03/2020 17:05:29.76609,1.57E+01,2.51E+00,-8.92E+00
24/03/2020 17:05:29.84773,1.58E+01,2.64E+00,-8.92E+00
24/03/2020 17:05:29.92937,1.57E+01,2.51E+00,-8.80E+00
24/03/2020 17:05:30.01101,1.57E+01,2.51E+00,-8.80E+00
24/03/2020 17:05:30.09265,1.58E+01,2.64E+00,-8.92E+00
24/03/2020 17:05:30.17429,1.57E+01,2.64E+00,-8.92E+00
24/03/2020 17:05:30.25593,1.57E+01,2.39E+00,-8.80E+00
24/03/2020 17:05:30.33757,1.55E+01,2.64E+00,-8.80E+00
24/03/2020 17:05:30.41921,1.55E+01,2.39E+00,-8.55E+00
24/03/2020 17:05:30.50085,1.52E+01,2.26E+00,-8.42E+00
24/03/2020 17:05:30.58249,1.52E+01,2.14E+00,-8.55E+00
24/03/2020 17:05:30.66413,1.52E+01,2.51E+00,-8.67E+00
24/03/2020 17:05:30.74577,1.52E+01,2.39E+00,-8.55E+00
24/03/2020 17:05:30.82742,1.51E+01,2.26E+00,-8.42E+00
24/03/2020 17:05:30.90906,1.51E+01,2.39E+00,-8.29E+00
24/03/2020 17:05:30.99070,1.53E+01,2.26E+00,-8.67E+00
24/03/2020 17:05:31.07234,1.53E+01,2.14E+00,-8.42E+00
24/03/2020 17:05:31.15398,1.51E+01,2.39E+00,-8.55E+00
24/03/2020 17:05:31.23562,1.50E+01,2.39E+00,-8.67E+00
24/03/2020 17:05:31.31726,1.51E+01,2.39E+00,-8.55E+00
24/03/2020 17:05:31.39890,1.48E+01,2.14E+00,-8.29E+00
24/03/2020 17:05:31.48054,1.48E+01,2.39E+00,-8.42E+00
24/03/2020 17:05:31.56218,1.50E+01,2.39E+00,-8.55E+00
24/03/2020 17:05:31.64382,1.48E+01,2.26E+00,-8.29E+00
24/03/2020 17:05:31.72546,1.47E+01,2.14E+00,-8.29E+00
24/03/2020 17:05:31.80710,1.48E+01,2.39E+00,-8.55E+00
24/03/2020 17:05:31.88874,1.50E+01,2.39E+00,-8.42E+00
24/03/2020 17:05:31.97038,1.50E+01,2.14E+00,-8.42E+00
24/03/2020 17:05:32.05202,1.52E+01,2.39E+00,-8.67E+00
24/03/2020 17:05:32.13366,1.52E+01,2.39E+00,-8.55E+00
24/03/2020 17:05:32.21530,1.51E+01,2.14E+00,-8.29E+00
24/03/2020 17:05:32.29694,1.50E+01,2.26E+00,-8.42E+00
24/03/2020 17:05:32.37858,1.51E+01,2.51E+00,-8.67E+00
24/03/2020 17:05:32.46022,1.48E+01,2.26E+00,-8.29E+00
24/03/2020 17:05:32.54187,1.48E+01,2.39E+00,-8.29E+00
24/03/2020 17:05:32.62351,1.50E+01,2.51E+00,-8.67E+00
24/03/2020 17:05:32.70515,1.50E+01,2.51E+00,-8.55E+00
24/03/2020 17:05:32.78679,1.47E+01,2.14E+00,-8.17E+00
24/03/2020 17:05:32.86843,1.47E+01,2.26E+00,-8.42E+00
24/03/2020 17:05:32.95007,1.50E+01,2.51E+00,-8.67E+00
24/03/2020 17:05:33.03171,1.50E+01,2.39E+00,-8.29E+00
24/03/2020 17:05:33.11335,1.47E+01,2.14E+00,-8.17E+00
24/03/2020 17:05:33.19499,1.47E+01,2.39E+00,-8.55E+00
24/03/2020 17:05:33.27663,1.48E+01,2.39E+00,-8.29E+00
24/03/2020 17:05:33.35827,1.48E+01,2.14E+00,-8.17E+00
24/03/2020 17:05:33.43991,1.47E+01,2.14E+00,-8.29E+00
24/03/2020 17:05:33.52155,1.50E+01,2.39E+00,-8.55E+00
24/03/2020 17:05:33.60319,1.52E+01,2.51E+00,-8.55E+00
24/03/2020 17:05:33.68483,1.53E+01,2.39E+00,-8.55E+00
24/03/2020 17:05:33.76647,1.52E+01,2.64E+00,-8.55E+00
24/03/2020 17:05:33.84811,1.52E+01,2.39E+00,-8.55E+00
24/03/2020 17:05:33.92975,1.52E+01,2.26E+00,-8.29E+00
24/03/2020 17:05:34.01139,1.51E+01,2.39E+00,-8.55E+00
24/03/2020 17:05:34.09303,1.52E+01,2.39E+00,-8.42E+00
24/03/2020 17:05:34.17468,1.51E+01,2.39E+00,-8.29E+00
24/03/2020 17:05:34.25632,1.51E+01,2.39E+00,-8.29E+00
24/03/2020 17:05:34.33796,1.51E+01,2.64E+00,-8.42E+00
24/03/2020 17:05:34.41960,1.52E+01,2.39E+00,-8.42E+00
24/03/2020 17:05:34.50124,1.51E+01,2.39E+00,-8.42E+00
24/03/2020 17:05:34.58288,1.51E+01,2.39E+00,-8.55E+00
24/03/2020 17:05:34.66452,1.52E+01,2.39E+00,-8.42E+00
24/03/2020 17:05:34.74616,1.51E+01,2.39E+00,-8.42E+00
24/03/2020 17:05:34.82780,1.50E+01,2.39E+00,-8.29E+00
24/03/2020 17:05:34.90944,1.52E+01,2.51E+00,-8.55E+00
24/03/2020 17:05:34.99108,1.52E+01,2.39E+00,-8.42E+00
24/03/2020 17:05:35.07272,1.51E+01,2.39E+00,-8.42E+00
24/03/2020 17:05:35.15436,1.50E+01,2.39E+00,-8.55E+00
24/03/2020 17:05:35.23600,1.51E+01,2.51E+00,-8.67E+00
